compound,auid,Egap,Egap_type,enthalpy_formation_atom,volume_atom,spacegroup_relax,Pearson_symbol_relax,aurl
Ag1Al2Au1,aflow:3293276f5e6626fe,,,-0.13405,16.9074,119,tI8,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAu/TFCC008.BCA
Ag1Al2Au1,aflow:4087dd29176cddfa,,,-0.113211,16.985,123,tP4,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAu/TFCC012.BCA
Ag1Al2Au1,aflow:4daafd6e005d5605,,,-0.126777,16.8476,139,tI8,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAu/TFCC013.BCA
Ag1Al2Au1,aflow:50dd2458ec8beb37,,,-0.102329,16.9805,35,oS8,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAu/TBCC004.BCA
Ag1Al2Au1,aflow:6402ceb3d9a9b8c3,,,-0.13319,16.9342,44,oI8,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAu/TBCC007.BCA
Ag1Al2Au1,aflow:64d25f7b63780681,,,-0.0767626,17.5475,71,oI8,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAu/TBCC012.BCA
Ag1Al2Au1,aflow:69356b3718639741,,,-0.078527,17.6739,12,mS8,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAu/TBCC014.BCA
Ag1Al2Au1,aflow:6c40c7c1a37c06ee,,,-0.11243,16.7111,225,cF16,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAu/TBCC013.BCA
Ag1Al2Au1,aflow:89ed45a6e8d77b5c,,,-0.093864,17.8341,10,mP4,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAu/TBCC010.BCA
Ag1Al2Au1,aflow:8e0f5aaccf9eee77,,,-0.120287,17.2185,160,hR4,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAu/TFCC004.BCA
Ag1Al2Au1,aflow:962cfc8106453144,,,-0.112534,16.7,225,cF16,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAu/T0001.AB2C
